Grid ID,X-Permutation,O-Permutation,Knot Type,tb,r,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal
G2211,"(0, 8, 4, 6, 7, 5, 3, 1, 2, 9)","(7, 1, 9, 0, 2, 8, 6, 4, 5, 3)",m12n768,-9,-2,--,--,G2617
G2617,"(0, 6, 9, 7, 8, 5, 3, 4, 1, 2)","(3, 1, 2, 0, 4, 9, 6, 7, 5, 8)",m12n768,-9,-2,--,--,G2211
G2212,"(0, 1, 2, 9, 7, 8, 6, 4, 5, 3)","(4, 7, 8, 5, 0, 3, 1, 9, 2, 6)",m12n768,-9,0,G2215,G2621,G2618
G2213,"(0, 1, 9, 2, 8, 6, 7, 4, 5, 3)","(4, 8, 5, 7, 3, 0, 1, 9, 2, 6)",m12n768,-9,0,G2214,G2619,G2620
G2214,"(0, 4, 2, 8, 6, 7, 9, 5, 1, 3)","(6, 7, 5, 3, 1, 2, 4, 0, 8, 9)",m12n768,-9,0,G2213,G2620,G2619
G2215,"(0, 8, 6, 9, 4, 1, 3, 5, 2, 7)","(5, 1, 3, 2, 0, 7, 8, 9, 6, 4)",m12n768,-9,0,G2212,G2618,G2621
G2618,"(0, 1, 2, 9, 7, 8, 6, 4, 5, 3)","(4, 6, 8, 5, 0, 3, 9, 1, 2, 7)",m12n768,-9,0,G2621,G2215,G2212
G2619,"(0, 2, 8, 5, 6, 4, 7, 1, 9, 3)","(4, 7, 3, 1, 2, 9, 0, 8, 5, 6)",m12n768,-9,0,G2620,G2213,G2214
G2620,"(0, 8, 9, 6, 7, 5, 3, 1, 2, 4)","(5, 1, 3, 0, 4, 2, 8, 6, 7, 9)",m12n768,-9,0,G2619,G2214,G2213
G2621,"(0, 7, 8, 9, 5, 6, 4, 1, 2, 3)","(6, 4, 1, 2, 0, 3, 8, 5, 7, 9)",m12n768,-9,0,G2618,G2212,G2215
G2216,"(0, 7, 8, 6, 4, 2, 3, 5, 1, 9)","(6, 4, 5, 3, 1, 7, 9, 0, 8, 2)",m12n768,-9,2,--,--,G2622
G2622,"(0, 1, 8, 9, 7, 4, 5, 3, 6, 2)","(4, 7, 5, 6, 3, 8, 2, 0, 1, 9)",m12n768,-9,2,--,--,G2216
G523,"(0, 9, 1, 6, 5, 7, 3, 2, 4, 8)","(7, 3, 8, 0, 9, 4, 6, 5, 1, 2)",12n121,0,-1,--,--,G523
G524,"(0, 3, 4, 8, 1, 7, 9, 5, 2, 6)","(4, 5, 9, 2, 3, 0, 6, 8, 7, 1)",12n121,0,-1,--,--,G524
G525,"(0, 4, 1, 7, 9, 5, 8, 2, 3, 6)","(5, 9, 8, 0, 6, 3, 4, 7, 1, 2)",12n121,0,1,--,--,G525
G526,"(0, 4, 6, 5, 1, 3, 2, 7, 9, 8)","(6, 7, 3, 2, 4, 9, 8, 0, 5, 1)",12n121,0,1,--,--,G526
G1539,"(0, 8, 9, 4, 2, 3, 1, 7, 5, 6)","(7, 3, 1, 0, 5, 6, 4, 2, 8, 9)",m12n121,-10,-1,--,--,G1540
G1540,"(0, 8, 4, 2, 3, 1, 6, 7, 5, 9)","(7, 1, 0, 5, 9, 4, 2, 3, 8, 6)",m12n121,-10,-1,--,--,G1540
G1541,"(0, 1, 9, 5, 3, 4, 2, 7, 8, 6)","(7, 8, 4, 2, 0, 1, 6, 5, 3, 9)",m12n121,-10,1,--,--,G1542
G1542,"(0, 4, 2, 3, 8, 6, 7, 5, 1, 9)","(3, 1, 6, 7, 5, 0, 4, 9, 8, 2)",m12n121,-10,1,--,--,G1542
G527,"(0, 6, 5, 4, 3, 2, 9, 8, 7, 1)","(2, 1, 8, 7, 6, 5, 4, 3, 0, 9)",12n243,-17,-2,--,--,G527
G528,"(0, 4, 3, 2, 9, 8, 7, 6, 5, 1)","(2, 1, 8, 7, 6, 5, 4, 3, 0, 9)",12n243,-17,2,--,--,G528
G1543,"(0, 1, 2, 3, 4, 8, 9, 5, 6, 7)","(3, 4, 5, 6, 9, 0, 7, 8, 1, 2)",m12n243,7,0,G1544,G1543,G1544
G1544,"(0, 1, 2, 8, 9, 3, 4, 5, 6, 7)","(5, 6, 9, 0, 7, 8, 1, 2, 3, 4)",m12n243,7,0,G1543,G1544,G1543
