Knot Type,Grid ID,X-Permutation,O-Permutation,tb,r,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal,x+,x-
8a6,G1045,"(0, 1, 5, 4, 9, 8, 7, 6, 2, 3)","(2, 4, 3, 8, 7, 6, 5, 0, 9, 1)",-9,2,--,--,G1045,1,1
8a6,G1046,"(0, 6, 5, 8, 7, 9, 1, 4, 3, 2)","(5, 4, 7, 6, 1, 3, 8, 2, 0, 9)",-9,2,--,--,G1046,1,1
m8a6,G1867,"(0, 5, 6, 7, 8, 3, 4, 2, 1, 9)","(8, 9, 4, 5, 6, 7, 1, 0, 3, 2)",-1,0,?,G1867,?,1,1
m8a6,G1868,"(0, 4, 2, 6, 7, 8, 5, 9, 3, 1)","(2, 1, 7, 8, 9, 0, 3, 4, 6, 5)",-1,0,?,G1868,?,1,1
8a7,G1047,"(0, 1, 5, 6, 7, 8, 9, 4, 3, 2)","(3, 6, 7, 8, 9, 0, 2, 1, 5, 4)",-2,-1,--,--,?,1,1
8a7,G1048,"(0, 9, 1, 8, 2, 3, 4, 5, 7, 6)","(7, 5, 6, 0, 9, 1, 2, 3, 4, 8)",-2,-1,--,--,?,1,1
8a7,G1049,"(0, 9, 8, 3, 4, 5, 6, 7, 1, 2)","(8, 7, 1, 0, 2, 3, 4, 5, 6, 9)",-2,1,--,--,?,1,1
8a7,G1050,"(0, 9, 1, 2, 3, 4, 8, 5, 7, 6)","(8, 2, 3, 4, 5, 7, 6, 0, 1, 9)",-2,1,--,--,?,1,1
m8a7,G1872,"(0, 5, 4, 3, 2, 1, 7, 6, 8, 9)","(8, 9, 6, 5, 4, 3, 2, 0, 1, 7)",-8,-3,--,--,?,1,1
m8a7,G1873,"(0, 9, 5, 4, 6, 3, 2, 1, 7, 8)","(7, 1, 0, 8, 9, 5, 4, 3, 2, 6)",-8,-3,--,--,?,1,1
m8a7,G1869,"(0, 4, 9, 5, 3, 6, 7, 8, 2, 1)","(3, 2, 1, 0, 8, 9, 5, 6, 7, 4)",-8,-1,--,--,?,1,1
m8a7,G1870,"(0, 8, 7, 9, 2, 3, 6, 5, 1, 4)","(5, 2, 1, 3, 4, 0, 8, 7, 6, 9)",-8,-1,--,--,?,1,1
m8a7,G1871,"(0, 3, 5, 4, 2, 1, 7, 9, 8, 6)","(7, 8, 1, 0, 6, 3, 2, 5, 4, 9)",-8,-1,--,--,?,1,1
m8a7,G1874,"(0, 3, 9, 8, 1, 2, 5, 7, 6, 4)","(5, 8, 7, 6, 4, 0, 1, 3, 2, 9)",-8,1,--,--,?,1,1
m8a7,G1875,"(0, 8, 7, 9, 5, 4, 2, 1, 3, 6)","(7, 2, 1, 4, 3, 0, 6, 5, 8, 9)",-8,1,--,--,?,1,1
m8a7,G1876,"(0, 9, 3, 4, 5, 8, 6, 2, 7, 1)","(7, 4, 5, 6, 2, 3, 1, 0, 9, 8)",-8,1,--,--,?,1,1
m8a7,G1877,"(0, 1, 7, 6, 5, 2, 4, 3, 9, 8)","(2, 6, 5, 4, 3, 9, 0, 8, 7, 1)",-8,3,--,--,?,1,1
m8a7,G1878,"(0, 1, 3, 2, 8, 7, 6, 5, 4, 9)","(2, 8, 9, 7, 6, 5, 4, 3, 0, 1)",-8,3,--,--,?,1,1
8a8,G1051,"(0, 9, 8, 6, 7, 3, 4, 5, 1, 2)","(7, 1, 0, 9, 4, 5, 6, 2, 3, 8)",-4,-1,--,--,?,1,1
8a8,G1052,"(0, 7, 6, 2, 5, 8, 1, 3, 4, 9)","(3, 1, 8, 7, 9, 4, 6, 5, 0, 2)",-4,-1,--,--,?,1,1
8a8,G1053,"(0, 1, 7, 8, 6, 5, 2, 4, 3, 9)","(2, 8, 9, 4, 3, 7, 6, 0, 5, 1)",-4,-1,--,--,?,1,1
8a8,G1054,"(0, 9, 6, 8, 1, 5, 2, 3, 4, 7)","(5, 1, 0, 4, 7, 9, 6, 8, 2, 3)",-4,-1,--,--,?,1,1
8a8,G1055,"(0, 8, 7, 6, 1, 9, 3, 4, 2, 5)","(3, 2, 9, 8, 7, 4, 5, 6, 0, 1)",-4,-1,--,--,?,1,1
8a8,G1056,"(0, 3, 1, 2, 6, 4, 9, 8, 7, 5)","(4, 5, 9, 0, 1, 8, 7, 6, 3, 2)",-4,1,--,--,?,1,1
8a8,G1057,"(0, 6, 5, 7, 4, 3, 1, 2, 8, 9)","(8, 4, 9, 3, 2, 6, 5, 0, 1, 7)",-4,1,--,--,?,1,1
