Knot Type,Grid ID,X-Permutation,O-Permutation,tb,r,grid ID num,Grid ID,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal
m10n23,G1116,"(0, 9, 1, 2, 7, 8, 6, 3, 5, 4)","(5, 2, 3, 8, 0, 4, 1, 7, 9, 6)",-6,-1,#REF!,G1116,--,--,G1116
m10n23,G1117,"(0, 2, 5, 1, 4, 3, 8, 6, 7, 9)","(3, 8, 9, 6, 7, 5, 4, 2, 0, 1)",-6,-1,#REF!,G1117,--,--,G1119
m10n23,G1118,"(0, 7, 9, 4, 1, 3, 5, 6, 2, 8)","(5, 1, 2, 0, 8, 6, 7, 9, 4, 3)",-6,-1,#REF!,G1118,--,--,G1123
m10n23,G1119,"(0, 8, 1, 2, 5, 3, 7, 6, 4, 9)","(6, 3, 4, 0, 1, 9, 2, 8, 7, 5)",-6,-1,#REF!,G1119,--,--,G1117
m10n23,G1120,"(0, 4, 6, 2, 5, 3, 8, 7, 1, 9)","(8, 9, 1, 7, 0, 6, 4, 3, 5, 2)",-6,-1,#REF!,G1120,--,--,?
m10n23,G1121,"(0, 6, 1, 5, 3, 8, 2, 7, 9, 4)","(2, 8, 7, 9, 6, 4, 5, 0, 3, 1)",-6,-1,#REF!,G1121,--,--,G1125
m10n23,G1122,"(0, 8, 6, 7, 1, 4, 5, 3, 2, 9)","(7, 1, 9, 2, 5, 6, 0, 8, 4, 3)",-6,-1,#REF!,G1122,--,--,G1124
m10n23,G1123,"(0, 1, 5, 3, 6, 4, 8, 2, 9, 7)","(4, 9, 0, 8, 1, 7, 5, 6, 3, 2)",-6,-1,#REF!,G1123,--,--,G1118
m10n23,G1124,"(0, 4, 8, 7, 5, 6, 2, 3, 1, 9)","(6, 1, 3, 9, 8, 4, 5, 0, 7, 2)",-6,-1,#REF!,G1124,--,--,G1122
m10n23,G1125,"(0, 4, 2, 7, 1, 9, 5, 3, 6, 8)","(7, 8, 6, 3, 4, 2, 0, 9, 1, 5)",-6,-1,#REF!,G1125,--,--,G1121
m10n23,G1126,"(0, 1, 9, 4, 5, 8, 7, 3, 6, 2)","(3, 7, 5, 6, 0, 2, 9, 8, 1, 4)",-6,-1,#REF!,G1126,--,--,?
m10n23,G1127,"(0, 8, 5, 9, 3, 1, 4, 2, 6, 7)","(5, 4, 1, 2, 0, 6, 9, 7, 8, 3)",-6,1,#REF!,G1127,--,--,G1131
m10n23,G1128,"(0, 5, 7, 2, 6, 1, 9, 3, 8, 4)","(3, 1, 4, 9, 0, 8, 5, 7, 6, 2)",-6,1,#REF!,G1128,--,--,G1137
m10n23,G1129,"(0, 8, 6, 7, 3, 4, 2, 1, 5, 9)","(7, 2, 9, 4, 5, 1, 0, 6, 8, 3)",-6,1,#REF!,G1129,--,--,G1132
m10n23,G1130,"(0, 9, 1, 8, 6, 7, 2, 3, 5, 4)","(8, 5, 7, 3, 0, 4, 6, 1, 2, 9)",-6,1,#REF!,G1130,--,--,G1130
m10n23,G1131,"(0, 6, 2, 3, 5, 7, 4, 9, 1, 8)","(5, 4, 9, 1, 2, 0, 8, 6, 7, 3)",-6,1,#REF!,G1131,--,--,G1127
m10n23,G1132,"(0, 7, 6, 4, 5, 8, 2, 3, 1, 9)","(6, 5, 1, 9, 3, 4, 7, 0, 8, 2)",-6,1,#REF!,G1132,--,--,G1129
m10n23,G1133,"(0, 5, 3, 2, 6, 4, 7, 8, 1, 9)","(4, 2, 1, 7, 0, 8, 9, 5, 6, 3)",-6,1,#REF!,G1133,--,--,G1138
m10n23,G1134,"(0, 6, 9, 5, 4, 7, 8, 3, 1, 2)","(8, 1, 4, 3, 0, 2, 6, 7, 5, 9)",-6,1,#REF!,G1134,--,--,?
m10n23,G1135,"(0, 8, 2, 1, 6, 4, 7, 3, 5, 9)","(7, 4, 6, 5, 3, 9, 2, 8, 0, 1)",-6,1,#REF!,G1135,--,--,?
m10n23,G1136,"(0, 2, 9, 1, 5, 6, 4, 3, 8, 7)","(5, 8, 4, 6, 7, 3, 2, 0, 1, 9)",-6,1,#REF!,G1136,--,--,?
m10n23,G1137,"(0, 2, 5, 3, 9, 7, 1, 6, 4, 8)","(3, 7, 9, 8, 6, 4, 5, 2, 0, 1)",-6,1,#REF!,G1137,--,--,G1128
m10n23,G1138,"(0, 2, 3, 1, 6, 5, 8, 4, 7, 9)","(8, 9, 7, 5, 4, 2, 3, 0, 1, 6)",-6,1,#REF!,G1138,--,--,G1133
10n24,G1885,"(0, 4, 6, 2, 9, 8, 7, 3, 1, 5)","(2, 1, 3, 5, 4, 0, 9, 8, 6, 7)",-7,-2,#REF!,G1885,--,--,G2291
10n24,G2291,"(0, 8, 1, 5, 4, 3, 9, 7, 2, 6)","(3, 2, 7, 8, 6, 5, 4, 0, 9, 1)",-7,-2,#REF!,G2291,--,--,G1885
10n24,G1886,"(0, 7, 1, 5, 9, 8, 6, 4, 2, 3)","(4, 2, 6, 8, 7, 3, 0, 9, 5, 1)",-7,0,#REF!,G1886,G1887,G2293,G2292
10n24,G1887,"(0, 1, 9, 7, 5, 4, 8, 2, 6, 3)","(2, 8, 4, 3, 0, 6, 5, 7, 1, 9)",-7,0,#REF!,G1887,G1886,G2292,G2293
10n24,G2292,"(0, 6, 2, 1, 8, 4, 3, 5, 9, 7)","(8, 9, 7, 5, 3, 2, 6, 0, 4, 1)",-7,0,#REF!,G2292,G2293,G1887,G1886
10n24,G2293,"(0, 4, 6, 5, 1, 8, 7, 3, 9, 2)","(5, 9, 3, 7, 6, 4, 2, 0, 1, 8)",-7,0,#REF!,G2293,G2292,G1886,G1887
10n24,G1888,"(0, 4, 2, 8, 7, 6, 3, 9, 1, 5)","(8, 9, 7, 6, 5, 1, 0, 2, 4, 3)",-7,2,#REF!,G1888,--,--,G2294
10n24,G2294,"(0, 4, 9, 7, 3, 2, 1, 5, 8, 6)","(5, 7, 6, 2, 1, 0, 8, 9, 4, 3)",-7,2,#REF!,G2294,--,--,G1888
m10n24,G2120,"(0, 6, 8, 2, 7, 1, 9, 3, 4, 5)","(4, 1, 5, 9, 0, 8, 6, 7, 2, 3)",-3,0,#REF!,G2120,?,?,G2528
m10n24,G2121,"(0, 1, 9, 6, 7, 8, 3, 2, 4, 5)","(4, 8, 2, 0, 5, 6, 1, 7, 9, 3)",-3,0,#REF!,G2121,?,?,G2529
m10n24,G2122,"(0, 7, 8, 3, 4, 5, 2, 6, 1, 9)","(3, 1, 4, 5, 6, 9, 7, 0, 8, 2)",-3,0,#REF!,G2122,G2124,G2527,G2530
m10n24,G2123,"(0, 5, 7, 8, 9, 4, 2, 3, 1, 6)","(4, 1, 3, 6, 7, 8, 5, 0, 9, 2)",-3,0,#REF!,G2123,?,?,G2526
m10n24,G2124,"(0, 2, 4, 1, 3, 7, 5, 6, 8, 9)","(3, 7, 8, 5, 6, 4, 2, 9, 0, 1)",-3,0,#REF!,G2124,G2122,G2530,G2527
m10n24,G2526,"(0, 3, 5, 2, 4, 7, 6, 1, 8, 9)","(8, 9, 1, 6, 0, 5, 3, 4, 2, 7)",-3,0,#REF!,G2526,?,?,G2123
m10n24,G2527,"(0, 3, 1, 5, 6, 4, 7, 8, 9, 2)","(5, 9, 4, 2, 3, 0, 1, 6, 7, 8)",-3,0,#REF!,G2527,G2530,G2122,G2124
m10n24,G2528,"(0, 8, 2, 6, 1, 9, 3, 4, 5, 7)","(3, 1, 9, 0, 7, 4, 5, 6, 8, 2)",-3,0,#REF!,G2528,?,?,G2120
m10n24,G2529,"(0, 9, 1, 2, 3, 7, 8, 6, 4, 5)","(8, 4, 6, 0, 1, 2, 5, 9, 7, 3)",-3,0,#REF!,G2529,?,?,G2121
m10n24,G2530,"(0, 2, 6, 7, 4, 5, 3, 1, 8, 9)","(8, 9, 1, 3, 0, 2, 6, 4, 5, 7)",-3,0,#REF!,G2530,G2527,G2124,G2122
10n25,G102,"(0, 8, 9, 1, 6, 5, 2, 3, 4, 7)","(5, 4, 7, 8, 0, 9, 6, 1, 2, 3)",0,-1,#REF!,G102,--,--,G103
10n25,G103,"(0, 1, 2, 9, 8, 3, 5, 6, 4, 7)","(2, 3, 5, 4, 0, 6, 7, 9, 8, 1)",0,-1,#REF!,G103,--,--,G102
10n25,G104,"(0, 2, 3, 4, 9, 6, 5, 7, 8, 1)","(5, 7, 1, 2, 3, 0, 8, 9, 4, 6)",0,-1,#REF!,G104,--,--,G105
10n25,G105,"(0, 9, 1, 2, 8, 4, 3, 5, 6, 7)","(4, 3, 5, 0, 1, 9, 6, 7, 8, 2)",0,-1,#REF!,G105,--,--,G104
10n25,G106,"(0, 3, 4, 6, 5, 2, 7, 8, 9, 1)","(5, 7, 2, 3, 1, 8, 9, 0, 4, 6)",0,1,#REF!,G106,--,--,G108
10n25,G107,"(0, 3, 1, 2, 4, 9, 8, 5, 6, 7)","(6, 9, 8, 0, 1, 7, 3, 2, 4, 5)",0,1,#REF!,G107,--,--,G109
10n25,G108,"(0, 1, 2, 4, 3, 9, 5, 6, 8, 7)","(5, 9, 0, 1, 8, 6, 7, 2, 4, 3)",0,1,#REF!,G108,--,--,G106
10n25,G109,"(0, 3, 4, 5, 2, 1, 6, 8, 9, 7)","(4, 5, 6, 1, 8, 7, 9, 0, 3, 2)",0,1,#REF!,G109,--,--,G107
m10n25,G1147,"(0, 4, 6, 9, 8, 7, 5, 2, 3, 1)","(2, 1, 3, 4, 0, 9, 8, 6, 7, 5)",-10,-3,#REF!,G1147,--,--,G1148
m10n25,G1148,"(0, 8, 7, 6, 2, 3, 5, 4, 1, 9)","(4, 1, 9, 8, 7, 0, 2, 6, 5, 3)",-10,-3,#REF!,G1148,--,--,G1147
m10n25,G1139,"(0, 8, 7, 4, 5, 3, 2, 1, 6, 9)","(7, 6, 1, 9, 0, 8, 4, 3, 2, 5)",-10,-1,#REF!,G1139,--,--,G1145
m10n25,G1140,"(0, 9, 5, 4, 2, 3, 1, 7, 6, 8)","(7, 1, 0, 6, 8, 9, 5, 4, 2, 3)",-10,-1,#REF!,G1140,--,--,G1144
m10n25,G1141,"(0, 8, 9, 7, 4, 2, 1, 3, 6, 5)","(6, 2, 3, 1, 0, 5, 4, 8, 9, 7)",-10,-1,#REF!,G1141,--,--,G1142
m10n25,G1142,"(0, 6, 5, 7, 4, 9, 8, 3, 1, 2)","(4, 3, 1, 2, 6, 5, 0, 9, 7, 8)",-10,-1,#REF!,G1142,--,--,G1141
m10n25,G1143,"(0, 5, 8, 7, 6, 4, 9, 2, 3, 1)","(4, 2, 3, 1, 8, 7, 5, 6, 0, 9)",-10,-1,#REF!,G1143,--,--,G1146
m10n25,G1144,"(0, 1, 9, 8, 4, 3, 5, 7, 6, 2)","(4, 5, 3, 2, 9, 6, 0, 1, 8, 7)",-10,-1,#REF!,G1144,--,--,G1140
m10n25,G1145,"(0, 7, 6, 5, 3, 4, 8, 2, 1, 9)","(4, 2, 8, 7, 6, 9, 1, 0, 5, 3)",-10,-1,#REF!,G1145,--,--,G1139
m10n25,G1146,"(0, 4, 8, 7, 5, 6, 3, 9, 2, 1)","(2, 7, 6, 1, 9, 0, 8, 4, 5, 3)",-10,-1,#REF!,G1146,--,--,G1143
m10n25,G1149,"(0, 8, 9, 2, 7, 5, 4, 3, 6, 1)","(2, 1, 5, 6, 4, 3, 0, 8, 9, 7)",-10,1,#REF!,G1149,--,--,G1152
m10n25,G1150,"(0, 1, 9, 4, 3, 8, 5, 7, 6, 2)","(4, 5, 3, 2, 7, 6, 0, 1, 9, 8)",-10,1,#REF!,G1150,--,--,G1153
m10n25,G1151,"(0, 3, 8, 7, 6, 4, 5, 2, 1, 9)","(4, 7, 6, 5, 1, 9, 0, 8, 3, 2)",-10,1,#REF!,G1151,--,--,G1154
m10n25,G1152,"(0, 9, 2, 8, 5, 6, 4, 3, 7, 1)","(8, 6, 7, 3, 1, 2, 0, 5, 4, 9)",-10,1,#REF!,G1152,--,--,G1149
m10n25,G1153,"(0, 9, 2, 4, 3, 1, 8, 6, 7, 5)","(8, 6, 7, 1, 0, 5, 4, 2, 3, 9)",-10,1,#REF!,G1153,--,--,G1150
m10n25,G1154,"(0, 8, 7, 1, 5, 6, 4, 3, 2, 9)","(6, 4, 9, 8, 0, 3, 2, 1, 7, 5)",-10,1,#REF!,G1154,--,--,G1151
m10n25,G1155,"(0, 6, 5, 7, 9, 8, 4, 3, 1, 2)","(5, 4, 1, 2, 6, 3, 0, 9, 7, 8)",-10,1,#REF!,G1155,--,--,G1156
m10n25,G1156,"(0, 2, 1, 7, 5, 6, 4, 3, 9, 8)","(5, 6, 4, 3, 9, 0, 2, 8, 7, 1)",-10,1,#REF!,G1156,--,--,G1155
m10n25,G1157,"(0, 8, 5, 4, 6, 7, 3, 2, 1, 9)","(6, 4, 3, 7, 9, 2, 1, 0, 8, 5)",-10,3,#REF!,G1157,--,--,G1158
m10n25,G1158,"(0, 8, 9, 6, 4, 3, 2, 5, 7, 1)","(6, 4, 5, 3, 2, 1, 7, 8, 0, 9)",-10,3,#REF!,G1158,--,--,G1157
10n26,G1899,"(0, 9, 7, 6, 5, 3, 4, 2, 1, 8)","(4, 1, 0, 8, 7, 6, 9, 5, 3, 2)",-13,-4,#REF!,G1899,--,--,G2305
10n26,G2305,"(0, 9, 7, 6, 4, 5, 3, 2, 1, 8)","(5, 1, 0, 8, 7, 9, 6, 4, 3, 2)",-13,-4,#REF!,G2305,--,--,G1899
10n26,G1889,"(0, 8, 6, 4, 5, 2, 3, 1, 9, 7)","(5, 1, 0, 7, 9, 6, 8, 4, 3, 2)",-13,-2,#REF!,G1889,--,--,G2295
10n26,G1890,"(0, 6, 5, 7, 4, 9, 3, 2, 1, 8)","(4, 1, 9, 0, 8, 6, 7, 5, 3, 2)",-13,-2,#REF!,G1890,--,--,G2301
10n26,G1891,"(0, 8, 5, 2, 7, 6, 4, 3, 1, 9)","(6, 2, 1, 9, 0, 8, 7, 5, 4, 3)",-13,-2,#REF!,G1891,--,--,G2299
10n26,G1892,"(0, 1, 7, 6, 9, 8, 5, 3, 4, 2)","(3, 5, 4, 0, 2, 1, 9, 7, 8, 6)",-13,-2,#REF!,G1892,--,--,G2297
10n26,G1893,"(0, 8, 7, 6, 4, 5, 2, 3, 1, 9)","(5, 2, 9, 8, 7, 1, 0, 6, 4, 3)",-13,-2,#REF!,G1893,--,--,G2298
10n26,G1894,"(0, 2, 9, 6, 8, 7, 1, 5, 4, 3)","(4, 7, 3, 1, 2, 0, 9, 8, 6, 5)",-13,-2,#REF!,G1894,--,--,G2300
10n26,G1895,"(0, 8, 7, 3, 6, 2, 5, 4, 1, 9)","(4, 2, 1, 8, 9, 7, 0, 6, 5, 3)",-13,-2,#REF!,G1895,--,--,G2296
10n26,G1896,"(0, 9, 7, 8, 6, 5, 3, 4, 2, 1)","(3, 2, 0, 4, 9, 7, 6, 1, 8, 5)",-13,-2,#REF!,G1896,--,--,G2302
10n26,G1897,"(0, 1, 9, 7, 4, 8, 6, 5, 3, 2)","(3, 6, 5, 2, 0, 1, 9, 7, 8, 4)",-13,-2,#REF!,G1897,--,--,G2303
10n26,G1898,"(0, 7, 9, 8, 4, 6, 3, 5, 1, 2)","(5, 1, 3, 2, 0, 9, 7, 8, 4, 6)",-13,-2,#REF!,G1898,--,--,G2304
10n26,G2295,"(0, 2, 9, 1, 8, 6, 7, 4, 5, 3)","(4, 7, 5, 3, 2, 0, 9, 8, 1, 6)",-13,-2,#REF!,G2295,--,--,G1889
10n26,G2296,"(0, 9, 7, 5, 4, 2, 3, 1, 8, 6)","(3, 1, 0, 8, 6, 7, 9, 5, 4, 2)",-13,-2,#REF!,G2296,--,--,G1895
10n26,G2297,"(0, 8, 9, 7, 4, 3, 6, 5, 1, 2)","(5, 1, 3, 2, 0, 8, 9, 7, 4, 6)",-13,-2,#REF!,G2297,--,--,G1892
10n26,G2298,"(0, 8, 9, 7, 6, 5, 3, 4, 2, 1)","(3, 2, 4, 0, 8, 7, 6, 1, 9, 5)",-13,-2,#REF!,G2298,--,--,G1893
10n26,G2299,"(0, 9, 7, 5, 4, 2, 3, 1, 8, 6)","(3, 1, 0, 9, 6, 5, 8, 7, 4, 2)",-13,-2,#REF!,G2299,--,--,G1891
10n26,G2300,"(0, 8, 7, 6, 2, 4, 3, 1, 9, 5)","(3, 1, 9, 8, 7, 0, 6, 5, 4, 2)",-13,-2,#REF!,G2300,--,--,G1894
10n26,G2301,"(0, 6, 9, 8, 4, 3, 5, 2, 7, 1)","(3, 1, 2, 0, 9, 7, 8, 6, 4, 5)",-13,-2,#REF!,G2301,--,--,G1890
10n26,G2302,"(0, 9, 7, 8, 6, 5, 3, 4, 2, 1)","(8, 2, 1, 4, 0, 7, 6, 9, 5, 3)",-13,-2,#REF!,G2302,--,--,G1896
10n26,G2303,"(0, 3, 2, 9, 1, 8, 6, 7, 5, 4)","(5, 8, 7, 3, 4, 2, 0, 1, 9, 6)",-13,-2,#REF!,G2303,--,--,G1897
10n26,G2304,"(0, 9, 7, 5, 6, 3, 1, 4, 2, 8)","(4, 2, 1, 8, 0, 9, 5, 7, 6, 3)",-13,-2,#REF!,G2304,--,--,G1898
10n26,G1900,"(0, 8, 7, 5, 6, 4, 2, 3, 1, 9)","(6, 4, 3, 8, 1, 9, 7, 0, 5, 2)",-13,0,#REF!,G1900,G1912,G2308,G2313
10n26,G1901,"(0, 8, 2, 9, 4, 7, 6, 5, 3, 1)","(6, 4, 5, 3, 1, 2, 8, 0, 7, 9)",-13,0,#REF!,G1901,G1908,G2307,G2317
10n26,G1902,"(0, 4, 3, 2, 9, 7, 5, 8, 6, 1)","(7, 8, 5, 6, 4, 3, 1, 2, 0, 9)",-13,0,#REF!,G1902,G1906,G2315,G2306
10n26,G1903,"(0, 8, 6, 3, 2, 7, 5, 4, 1, 9)","(5, 4, 2, 1, 9, 0, 8, 6, 7, 3)",-13,0,#REF!,G1903,G1904,G2319,G2309
10n26,G1904,"(0, 9, 7, 2, 1, 8, 6, 4, 5, 3)","(8, 6, 4, 5, 3, 2, 0, 9, 1, 7)",-13,0,#REF!,G1904,G1903,G2309,G2319
10n26,G1905,"(0, 7, 6, 5, 4, 2, 3, 1, 9, 8)","(4, 3, 9, 7, 1, 6, 0, 8, 5, 2)",-13,0,#REF!,G1905,G1910,G2311,G2316
10n26,G1906,"(0, 4, 3, 8, 6, 9, 7, 5, 2, 1)","(6, 7, 5, 4, 2, 3, 1, 0, 8, 9)",-13,0,#REF!,G1906,G1902,G2306,G2315
10n26,G1907,"(0, 9, 3, 2, 8, 6, 7, 5, 1, 4)","(8, 5, 7, 4, 3, 1, 2, 0, 9, 6)",-13,0,#REF!,G1907,G1911,G2310,G2314
10n26,G1908,"(0, 8, 7, 5, 3, 2, 1, 4, 9, 6)","(4, 2, 9, 1, 8, 0, 6, 7, 5, 3)",-13,0,#REF!,G1908,G1901,G2317,G2307
10n26,G1909,"(0, 5, 4, 2, 7, 6, 3, 1, 9, 8)","(4, 3, 1, 9, 0, 8, 7, 6, 5, 2)",-13,0,#REF!,G1909,G1913,G2318,G2312
10n26,G1910,"(0, 9, 8, 7, 4, 6, 5, 3, 1, 2)","(3, 7, 5, 1, 0, 2, 9, 6, 4, 8)",-13,0,#REF!,G1910,G1905,G2316,G2311
10n26,G1911,"(0, 4, 9, 3, 2, 8, 6, 7, 5, 1)","(6, 8, 7, 5, 4, 3, 1, 2, 0, 9)",-13,0,#REF!,G1911,G1907,G2314,G2310
10n26,G1912,"(0, 2, 4, 1, 6, 9, 8, 5, 7, 3)","(8, 6, 7, 5, 3, 4, 2, 0, 1, 9)",-13,0,#REF!,G1912,G1900,G2313,G2308
10n26,G1913,"(0, 9, 4, 6, 5, 3, 1, 8, 7, 2)","(3, 1, 0, 2, 9, 8, 7, 6, 4, 5)",-13,0,#REF!,G1913,G1909,G2312,G2318
10n26,G2306,"(0, 6, 5, 9, 8, 7, 2, 4, 1, 3)","(5, 4, 2, 3, 1, 0, 8, 9, 6, 7)",-13,0,#REF!,G2306,G2315,G1906,G1902
10n26,G2307,"(0, 9, 6, 8, 4, 3, 2, 5, 1, 7)","(5, 2, 0, 3, 1, 9, 7, 8, 6, 4)",-13,0,#REF!,G2307,G2317,G1901,G1908
10n26,G2308,"(0, 5, 8, 6, 4, 7, 2, 9, 3, 1)","(4, 2, 3, 1, 9, 0, 8, 6, 7, 5)",-13,0,#REF!,G2308,G2313,G1900,G1912
10n26,G2309,"(0, 6, 5, 9, 8, 4, 7, 3, 1, 2)","(5, 4, 1, 3, 2, 9, 0, 8, 6, 7)",-13,0,#REF!,G2309,G2319,G1904,G1903
10n26,G2310,"(0, 5, 4, 2, 9, 7, 8, 6, 3, 1)","(7, 8, 6, 5, 4, 1, 3, 2, 0, 9)",-13,0,#REF!,G2310,G2314,G1907,G1911
10n26,G2311,"(0, 8, 9, 7, 4, 6, 5, 3, 2, 1)","(4, 3, 5, 0, 8, 2, 7, 1, 9, 6)",-13,0,#REF!,G2311,G2316,G1905,G1910
10n26,G2312,"(0, 9, 3, 2, 7, 6, 8, 5, 1, 4)","(8, 6, 5, 4, 3, 1, 2, 0, 7, 9)",-13,0,#REF!,G2312,G2318,G1913,G1909
10n26,G2313,"(0, 8, 7, 5, 6, 4, 2, 3, 1, 9)","(6, 2, 9, 1, 3, 0, 5, 8, 7, 4)",-13,0,#REF!,G2313,G2308,G1912,G1900
10n26,G2314,"(0, 9, 7, 6, 5, 3, 4, 2, 1, 8)","(6, 1, 5, 4, 0, 8, 9, 7, 3, 2)",-13,0,#REF!,G2314,G2310,G1911,G1907
10n26,G2315,"(0, 4, 3, 9, 6, 8, 5, 7, 2, 1)","(6, 7, 5, 4, 2, 3, 0, 1, 9, 8)",-13,0,#REF!,G2315,G2306,G1902,G1906
10n26,G2316,"(0, 9, 7, 6, 8, 5, 3, 4, 2, 1)","(3, 1, 5, 0, 4, 2, 7, 9, 8, 6)",-13,0,#REF!,G2316,G2311,G1910,G1905
10n26,G2317,"(0, 6, 8, 5, 4, 7, 3, 9, 2, 1)","(3, 1, 4, 2, 9, 0, 8, 6, 7, 5)",-13,0,#REF!,G2317,G2307,G1908,G1901
10n26,G2318,"(0, 9, 5, 8, 4, 1, 3, 2, 7, 6)","(3, 1, 0, 2, 9, 7, 8, 6, 5, 4)",-13,0,#REF!,G2318,G2312,G1909,G1913
10n26,G2319,"(0, 9, 3, 2, 8, 6, 7, 5, 1, 4)","(6, 5, 7, 4, 3, 1, 2, 0, 8, 9)",-13,0,#REF!,G2319,G2309,G1903,G1904
10n26,G1914,"(0, 8, 6, 5, 3, 2, 7, 4, 1, 9)","(6, 5, 4, 2, 1, 9, 0, 8, 7, 3)",-13,2,#REF!,G1914,--,--,G2320
10n26,G1915,"(0, 9, 7, 8, 6, 5, 3, 4, 2, 1)","(6, 3, 0, 5, 4, 2, 7, 1, 9, 8)",-13,2,#REF!,G1915,--,--,G2323
10n26,G1916,"(0, 1, 7, 9, 6, 8, 4, 3, 5, 2)","(6, 8, 4, 5, 3, 2, 0, 9, 1, 7)",-13,2,#REF!,G1916,--,--,G2328
10n26,G1917,"(0, 7, 6, 5, 9, 4, 1, 3, 2, 8)","(6, 5, 3, 1, 2, 0, 8, 9, 7, 4)",-13,2,#REF!,G1917,--,--,G2325
10n26,G1918,"(0, 9, 8, 2, 6, 5, 7, 4, 1, 3)","(8, 7, 5, 4, 3, 1, 2, 0, 6, 9)",-13,2,#REF!,G1918,--,--,G2321
10n26,G1919,"(0, 8, 5, 4, 7, 3, 6, 2, 1, 9)","(6, 4, 3, 9, 2, 0, 1, 8, 7, 5)",-13,2,#REF!,G1919,--,--,G2324
10n26,G1920,"(0, 8, 6, 4, 5, 2, 3, 1, 9, 7)","(5, 4, 3, 9, 1, 8, 0, 7, 6, 2)",-13,2,#REF!,G1920,--,--,G2326
10n26,G1921,"(0, 8, 9, 7, 4, 3, 6, 5, 1, 2)","(6, 4, 5, 3, 1, 0, 2, 8, 7, 9)",-13,2,#REF!,G1921,--,--,G2329
10n26,G1922,"(0, 9, 7, 6, 4, 8, 5, 3, 1, 2)","(8, 4, 5, 3, 1, 2, 0, 7, 6, 9)",-13,2,#REF!,G1922,--,--,G2327
10n26,G1923,"(0, 8, 6, 7, 4, 5, 3, 2, 1, 9)","(6, 5, 3, 9, 8, 2, 1, 0, 7, 4)",-13,2,#REF!,G1923,--,--,G2322
10n26,G2320,"(0, 8, 5, 3, 4, 2, 1, 9, 7, 6)","(4, 2, 9, 8, 1, 0, 7, 6, 5, 3)",-13,2,#REF!,G2320,--,--,G1914
10n26,G2321,"(0, 6, 4, 2, 1, 3, 9, 8, 7, 5)","(3, 1, 0, 9, 5, 8, 7, 6, 4, 2)",-13,2,#REF!,G2321,--,--,G1918
10n26,G2322,"(0, 9, 7, 8, 6, 5, 4, 2, 3, 1)","(6, 2, 0, 5, 4, 3, 1, 7, 9, 8)",-13,2,#REF!,G2322,--,--,G1923
10n26,G2323,"(0, 9, 7, 8, 6, 5, 3, 4, 2, 1)","(8, 6, 2, 5, 4, 1, 7, 0, 9, 3)",-13,2,#REF!,G2323,--,--,G1915
10n26,G2324,"(0, 8, 5, 3, 4, 2, 1, 9, 7, 6)","(4, 2, 1, 7, 9, 0, 8, 6, 5, 3)",-13,2,#REF!,G2324,--,--,G1919
10n26,G2325,"(0, 4, 9, 6, 8, 7, 3, 2, 5, 1)","(6, 7, 5, 3, 4, 2, 1, 9, 0, 8)",-13,2,#REF!,G2325,--,--,G1917
10n26,G2326,"(0, 8, 9, 6, 7, 5, 2, 4, 1, 3)","(7, 2, 5, 4, 3, 1, 0, 8, 6, 9)",-13,2,#REF!,G2326,--,--,G1920
10n26,G2327,"(0, 9, 7, 8, 6, 3, 5, 2, 1, 4)","(8, 5, 3, 4, 2, 0, 1, 7, 6, 9)",-13,2,#REF!,G2327,--,--,G1922
10n26,G2328,"(0, 6, 4, 7, 5, 2, 3, 1, 9, 8)","(5, 2, 1, 3, 9, 8, 0, 7, 6, 4)",-13,2,#REF!,G2328,--,--,G1916
10n26,G2329,"(0, 1, 7, 6, 9, 8, 5, 3, 4, 2)","(6, 8, 5, 3, 4, 2, 0, 9, 1, 7)",-13,2,#REF!,G2329,--,--,G1921
10n26,G1924,"(0, 7, 6, 4, 5, 3, 2, 1, 9, 8)","(6, 5, 3, 9, 2, 1, 0, 8, 7, 4)",-13,4,#REF!,G1924,--,--,G2330
10n26,G2330,"(0, 7, 6, 5, 3, 4, 2, 1, 9, 8)","(6, 5, 4, 2, 9, 1, 0, 8, 7, 3)",-13,4,#REF!,G2330,--,--,G1924
m10n26,G2125,"(0, 1, 3, 4, 5, 2, 6, 8, 9, 7)","(2, 4, 5, 6, 8, 7, 9, 0, 3, 1)",3,0,#REF!,G2125,G2126,G2531,G2532
m10n26,G2126,"(0, 1, 2, 4, 5, 8, 6, 7, 9, 3)","(7, 9, 0, 1, 3, 4, 2, 5, 6, 8)",3,0,#REF!,G2126,G2125,G2532,G2531
m10n26,G2531,"(0, 2, 3, 4, 1, 5, 6, 8, 9, 7)","(3, 4, 5, 8, 6, 7, 9, 0, 2, 1)",3,0,#REF!,G2531,G2532,G2125,G2126
m10n26,G2532,"(0, 1, 3, 4, 8, 5, 6, 7, 9, 2)","(7, 9, 0, 2, 3, 1, 4, 5, 6, 8)",3,0,#REF!,G2532,G2531,G2126,G2125
10n27,G110,"(0, 9, 8, 6, 3, 2, 1, 5, 4, 7)","(5, 1, 0, 9, 7, 6, 4, 3, 8, 2)",-11,-2,#REF!,G110,--,--,G114
10n27,G111,"(0, 2, 1, 8, 7, 9, 6, 5, 3, 4)","(5, 9, 3, 2, 0, 4, 1, 8, 7, 6)",-11,-2,#REF!,G111,--,--,G112
